sem,course,index,id,class,score
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,53,78a1203a95a115dc384a398d098717607026c8a8d4b5b8bf94db417c093d7d31,ITIT17CS1,74
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,54,540f1d5104e044d493da286235bf2c8f344fed05f875f81b1053fe05a556f57a,ITIT17CS1,84
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,55,ab29c957c216ffe5523e5f2dde4a04e4d1759c76db86c1bd6b32c9707dc7d3e5,ITIT17CS2,69
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,56,20d7c58df7704ca72b9ac164731c476899eaf77caa191e2613c46b7665f3b49f,ITIT17NE1,57
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,57,695962be5201d2fd1a69e38191bc7c6679a189d369e90f4985fe905afe25a8c6,ITIT17CS1,78
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,58,b131f095845f76d7990f2c13c18b11d823b2709fc011641ad80408565566d951,ITIT17CS1,51
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,59,20871051811520c970e0cba9fbd17196c4874e2bc46e8f7db25e128fd7a95b52,ITIT17CS1,66
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,6,12a4dadb78882de981763c66fe98f0b846c87cb44ea6cd35a7f7e5c2b55faabb,ITIT14IU11,31
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,60,280624c8dd8e7ee7763e32bab3dc37a4683d61735df1a949c34d08f3ca664a68,ITIT17WE11,75
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,61,c7606de6c5602462cc252322715dd70652d565165413c41ba30318916ccda4c6,ITIT16WE11,0
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,7,92ae954479d7cc4b63675fb9d9ce47db484720181e834388917b1e2b4ccc7556,ITIT15IU21,18
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,8,99770097c358ea69124bb0b6aef652a4bbbaad5691945fe3fce13135f72b4041,ITIT15NE1,20
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,9,e6eff6ed071216008c6d950f69b952775105191eefdac1511f2097ce4bf06084,ITIT15IU11,64
